iter	Passed	Remaining
0	137	137280
1	139	69444
2	140	46776
3	142	35462
4	144	28710
5	146	24195
6	162	23110
7	164	20425
8	166	18356
9	168	16678
10	170	15302
11	171	14150
12	173	13166
13	174	12323
14	177	11623
15	178	10995
16	180	10438
17	182	9942
18	184	9511
19	185	9112
20	187	8751
21	189	8426
22	191	8118
23	192	7837
24	194	7590
25	196	7359
26	197	7133
27	199	6937
28	201	6743
29	203	6564
30	204	6389
31	205	6229
32	207	6085
33	209	5958
34	211	5827
35	213	5705
36	214	5589
37	216	5475
38	218	5373
39	219	5274
40	221	5176
41	222	5085
42	224	4999
43	226	4914
44	227	4835
45	229	4759
46	231	4688
47	232	4620
48	234	4558
49	236	4493
50	238	4429
51	239	4374
52	241	4318
53	243	4262
54	245	4213
55	246	4160
56	248	4108
57	249	4057
58	251	4010
59	253	3966
60	254	3923
61	256	3884
62	258	3844
63	260	3805
64	261	3763
65	263	3723
66	264	3685
67	266	3649
68	267	3614
69	269	3581
70	271	3548
71	272	3516
72	274	3484
73	275	3453
74	277	3422
75	278	3391
76	280	3362
77	281	3332
78	283	3304
79	285	3282
80	287	3257
81	288	3229
82	289	3196
83	290	3171
84	292	3148
85	294	3126
86	295	3104
87	297	3084
88	299	3066
89	301	3047
90	303	3029
91	304	3009
92	306	2991
93	308	2973
94	310	2954
95	311	2936
96	313	2916
97	315	2900
98	316	2881
99	318	2867
100	320	2850
101	322	2835
102	323	2819
103	325	2805
104	327	2790
105	328	2772
106	330	2757
107	332	2742
108	333	2728
109	335	2713
110	336	2697
111	338	2682
112	339	2668
113	341	2655
114	343	2641
115	345	2630
116	346	2613
117	347	2601
118	349	2586
119	350	2573
120	352	2560
121	353	2545
122	355	2532
123	356	2520
124	358	2507
125	360	2497
126	361	2484
127	363	2473
128	364	2462
129	366	2451
130	367	2438
131	369	2427
132	370	2417
133	372	2405
134	373	2393
135	375	2384
136	376	2374
137	378	2364
138	380	2354
139	381	2345
140	383	2335
141	384	2322
142	386	2315
143	387	2305
144	389	2299
145	391	2291
146	393	2282
147	394	2273
148	396	2264
149	397	2255
150	399	2246
151	401	2237
152	402	2228
153	404	2220
154	405	2212
155	407	2205
156	409	2196
157	410	2189
158	412	2182
159	414	2175
160	415	2165
161	417	2158
162	419	2151
163	420	2144
164	422	2138
165	424	2131
166	425	2123
167	427	2117
168	430	2114
169	431	2107
170	433	2100
171	434	2093
172	436	2087
173	438	2081
174	439	2073
175	441	2066
176	443	2060
177	444	2052
178	446	2046
179	447	2040
180	449	2035
181	451	2030
182	453	2023
183	454	2017
184	456	2011
185	458	2006
186	460	2000
187	461	1993
188	463	1986
189	464	1979
190	466	1974
191	467	1968
192	469	1962
193	470	1955
194	472	1949
195	473	1944
196	475	1939
197	477	1933
198	478	1927
199	480	1922
200	482	1917
201	483	1911
202	485	1905
203	486	1900
204	488	1895
205	490	1889
206	491	1884
207	494	1881
208	496	1878
209	498	1873
210	499	1868
211	501	1863
212	503	1860
213	505	1855
214	506	1849
215	508	1844
216	510	1840
217	512	1836
218	513	1831
219	515	1826
220	516	1822
221	518	1817
222	520	1812
223	521	1807
224	523	1803
225	525	1799
226	527	1796
227	529	1792
228	531	1788
229	532	1783
230	534	1779
231	536	1774
232	537	1769
233	539	1765
234	541	1761
235	543	1758
236	558	1799
237	560	1795
238	562	1790
239	563	1785
240	565	1781
241	567	1776
242	568	1772
243	570	1767
244	573	1767
245	575	1762
246	576	1758
247	578	1753
248	580	1749
249	581	1745
250	583	1740
251	585	1736
252	586	1731
253	589	1730
254	590	1726
255	592	1721
256	593	1716
257	595	1712
258	596	1707
259	598	1703
260	599	1698
261	601	1694
262	603	1689
263	604	1685
264	606	1680
265	607	1676
266	609	1672
267	610	1667
268	612	1663
269	613	1658
270	615	1654
271	616	1650
272	618	1647
273	620	1643
274	621	1639
275	623	1635
276	625	1631
277	626	1627
278	628	1623
279	629	1619
280	631	1615
281	633	1613
282	635	1610
283	637	1607
284	639	1603
285	640	1598
286	641	1594
287	643	1590
288	645	1587
289	646	1583
290	648	1581
291	650	1577
292	652	1573
293	654	1570
294	655	1567
295	657	1563
296	659	1560
297	661	1557
298	663	1555
299	665	1552
300	667	1549
301	668	1545
302	670	1542
303	672	1538
304	673	1535
305	675	1532
306	677	1528
307	679	1525
308	680	1522
309	682	1518
310	684	1515
311	685	1511
312	687	1507
313	688	1504
314	690	1500
315	691	1497
316	693	1494
317	695	1491
318	697	1488
319	698	1484
320	700	1480
321	701	1477
322	704	1475
323	705	1472
324	707	1468
325	711	1471
326	713	1468
327	714	1464
328	716	1461
329	717	1457
330	719	1453
331	721	1450
332	722	1447
333	724	1445
334	726	1442
335	728	1438
336	729	1435
337	730	1431
338	732	1428
339	733	1424
340	735	1421
341	737	1418
342	738	1415
343	740	1412
344	742	1409
345	744	1406
346	745	1403
347	747	1400
348	749	1397
349	751	1395
350	752	1391
351	755	1389
352	756	1387
353	758	1384
354	760	1381
355	762	1378
356	763	1375
357	765	1372
358	767	1369
359	768	1366
360	770	1363
361	771	1360
362	773	1357
363	775	1354
364	776	1351
365	778	1348
366	780	1345
367	781	1342
368	784	1341
369	786	1339
370	788	1336
371	790	1333
372	791	1331
373	793	1328
374	795	1325
375	797	1322
376	798	1319
377	801	1318
378	803	1315
379	804	1313
380	806	1310
381	808	1307
382	810	1304
383	811	1302
384	813	1299
385	815	1297
386	817	1294
387	819	1291
388	820	1288
389	821	1285
390	823	1282
391	825	1279
392	826	1276
393	828	1273
394	829	1271
395	831	1268
396	833	1265
397	834	1262
398	836	1260
399	838	1257
400	839	1254
401	841	1251
402	842	1248
403	844	1246
404	847	1244
405	848	1241
406	850	1238
407	851	1235
408	853	1232
409	855	1230
410	856	1227
411	858	1224
412	859	1221
413	861	1219
414	862	1216
415	864	1213
416	866	1211
417	867	1208
418	869	1205
419	870	1202
420	872	1200
421	874	1197
422	876	1195
423	878	1192
424	879	1190
425	881	1187
426	883	1184
427	884	1182
428	886	1179
429	887	1176
430	889	1174
431	891	1172
432	893	1169
433	894	1167
434	896	1164
435	897	1161
436	899	1158
437	901	1156
438	902	1153
439	903	1150
440	906	1148
441	907	1145
442	909	1143
443	911	1140
444	912	1138
445	914	1135
446	916	1133
447	917	1130
448	919	1128
449	921	1126
450	923	1124
451	925	1121
452	926	1119
453	928	1116
454	930	1114
455	931	1111
456	933	1109
457	935	1107
458	937	1105
459	939	1102
460	940	1099
461	942	1097
462	943	1094
463	945	1092
464	946	1089
465	948	1086
466	950	1084
467	951	1082
468	953	1079
469	955	1077
470	956	1074
471	958	1072
472	960	1070
473	962	1067
474	963	1064
475	964	1062
476	967	1060
477	968	1058
478	970	1055
479	972	1053
480	974	1051
481	975	1048
482	977	1046
483	979	1044
484	981	1042
485	983	1040
486	985	1037
487	986	1035
488	988	1032
489	990	1030
490	991	1028
491	993	1026
492	995	1023
493	997	1021
494	999	1019
495	1000	1016
496	1002	1014
497	1003	1012
498	1005	1009
499	1007	1007
500	1008	1004
501	1010	1002
502	1012	1000
503	1013	997
504	1015	995
505	1017	992
506	1018	990
507	1020	988
508	1021	985
509	1023	983
510	1024	980
511	1027	979
512	1028	976
513	1030	974
514	1031	971
515	1033	969
516	1035	966
517	1036	964
518	1038	962
519	1039	959
520	1041	957
521	1043	955
522	1045	953
523	1046	950
524	1048	948
525	1049	946
526	1051	943
527	1053	941
528	1055	939
529	1057	937
530	1060	936
531	1062	934
532	1064	932
533	1066	930
534	1068	928
535	1069	926
536	1071	923
537	1073	922
538	1075	920
539	1078	918
540	1081	917
541	1084	916
542	1087	914
543	1089	912
544	1091	911
545	1093	909
546	1095	907
547	1097	905
548	1099	903
549	1101	901
550	1103	899
551	1105	897
552	1108	895
553	1111	894
554	1113	892
555	1115	890
556	1118	889
557	1120	887
558	1122	885
559	1126	884
560	1128	883
561	1130	881
562	1132	878
563	1135	878
564	1137	875
565	1139	873
566	1140	871
567	1142	868
568	1144	866
569	1145	864
570	1147	862
571	1149	860
572	1151	858
573	1153	856
574	1155	853
575	1156	851
576	1158	849
577	1160	847
578	1162	845
579	1165	843
580	1167	841
581	1169	840
582	1171	838
583	1173	836
584	1175	833
585	1177	831
586	1180	830
587	1182	828
588	1184	826
589	1186	824
590	1187	822
591	1189	819
592	1191	817
593	1193	815
594	1195	813
595	1197	811
596	1199	809
597	1201	807
598	1202	805
599	1204	803
600	1206	800
601	1208	798
602	1209	796
603	1211	794
604	1212	791
605	1214	789
606	1216	787
607	1217	785
608	1219	783
609	1221	780
610	1222	778
611	1225	776
612	1227	774
613	1229	772
614	1231	770
615	1233	768
616	1235	766
617	1236	764
618	1238	762
619	1240	760
620	1241	757
621	1243	755
622	1245	753
623	1247	751
624	1248	749
625	1250	746
626	1251	744
627	1253	742
628	1255	740
629	1257	738
630	1259	736
631	1260	734
632	1262	732
633	1264	729
634	1265	727
635	1267	725
636	1269	723
637	1271	721
638	1273	719
639	1274	717
640	1276	714
641	1278	712
642	1279	710
643	1281	708
644	1283	706
645	1285	704
646	1286	701
647	1288	699
648	1289	697
649	1291	695
650	1293	693
651	1294	691
652	1296	688
653	1297	686
654	1299	684
655	1300	682
656	1302	679
657	1304	677
658	1305	675
659	1307	673
660	1308	671
661	1310	669
662	1311	666
663	1313	664
664	1315	662
665	1317	660
666	1318	658
667	1320	656
668	1321	653
669	1323	651
670	1324	649
671	1326	647
672	1327	645
673	1329	642
674	1331	640
675	1332	638
676	1334	636
677	1335	634
678	1337	632
679	1339	630
680	1340	628
681	1342	625
682	1343	623
683	1345	621
684	1346	619
685	1348	617
686	1349	615
687	1351	612
688	1352	610
689	1354	608
690	1355	606
691	1357	604
692	1358	601
693	1360	599
694	1362	597
695	1363	595
696	1365	593
697	1367	591
698	1369	589
699	1370	587
700	1372	585
701	1373	583
702	1375	581
703	1377	579
704	1378	576
705	1380	574
706	1382	572
707	1383	570
708	1385	568
709	1386	566
710	1388	564
711	1389	562
712	1391	560
713	1393	557
714	1394	555
715	1396	553
716	1397	551
717	1399	549
718	1400	547
719	1402	545
720	1403	543
721	1405	541
722	1407	539
723	1408	537
724	1410	534
725	1411	532
726	1413	530
727	1415	528
728	1416	526
729	1418	524
730	1419	522
731	1421	520
732	1423	518
733	1424	516
734	1426	514
735	1427	512
736	1429	509
737	1430	507
738	1432	505
739	1433	503
740	1435	501
741	1436	499
742	1438	497
743	1439	495
744	1441	493
745	1442	491
746	1444	489
747	1446	487
748	1447	485
749	1449	483
750	1451	481
751	1453	479
752	1454	477
753	1456	475
754	1458	473
755	1459	471
756	1461	469
757	1462	466
758	1464	464
759	1466	463
760	1467	461
761	1469	458
762	1470	456
763	1472	454
764	1473	452
765	1475	450
766	1476	448
767	1478	446
768	1480	444
769	1481	442
770	1483	440
771	1484	438
772	1486	436
773	1487	434
774	1489	432
775	1491	430
776	1492	428
777	1493	426
778	1495	424
779	1497	422
780	1498	420
781	1500	418
782	1502	416
783	1503	414
784	1505	412
785	1507	410
786	1509	408
787	1510	406
788	1512	404
789	1514	402
790	1515	400
791	1517	398
792	1519	396
793	1521	394
794	1522	392
795	1524	390
796	1525	388
797	1527	386
798	1529	384
799	1530	382
800	1532	380
801	1534	378
802	1535	376
803	1537	374
804	1538	372
805	1540	370
806	1542	368
807	1544	366
808	1545	364
809	1547	363
810	1549	361
811	1550	359
812	1552	357
813	1554	355
814	1555	353
815	1557	351
816	1559	349
817	1560	347
818	1562	345
819	1564	343
820	1565	341
821	1567	339
822	1568	337
823	1570	335
824	1571	333
825	1573	331
826	1575	329
827	1577	327
828	1579	325
829	1580	323
830	1582	321
831	1583	319
832	1585	317
